Id,Age,Weight,Height,Max_BPM,Avg_BPM,Resting_BPM,Session_Duration,Calories_Burned,Fat_Percentage,Water_Intake,Workout_Frequency,BMI
367,42,76.4,1.97,165,157,65,1.14,886,22.9,2.6,3,19.69
368,39,63.3,1.71,178,125,56,1.88,1175,18.5,2.7,4,21.65
369,39,68.6,1.64,162,154,53,1.33,1024,32.4,1.5,3,25.51
370,59,123.3,1.88,177,161,67,1.3,1036,23,2.6,4,34.89
371,23,107,1.94,198,120,73,1.35,891,23.5,2.9,2,28.43
372,32,68.3,1.92,168,165,54,1.42,1289,29.9,3.5,2,18.53
373,54,47.8,1.6,171,155,55,1.19,830,26,2.3,4,18.67
374,50,58.4,1.79,164,131,56,1.6,943,17,2.7,4,18.23
375,25,74.3,1.71,162,157,64,1.43,1123,25.6,1.6,3,25.41
376,22,106.8,1.82,170,130,50,1,715,28.2,2.3,4,32.24
377,56,125.5,1.8,189,131,73,1.26,817,20.9,2.7,4,38.73
378,21,55.2,1.55,163,161,53,1.37,1103,31.7,1.7,4,22.98
379,23,71.4,1.72,164,169,74,1.25,1056,25.6,1.5,2,24.13
380,49,77.7,1.61,160,158,50,1.03,806,26.7,3.4,3,29.98
381,47,88.4,1.6,186,126,60,1.86,1160,14.2,3.5,5,34.53
382,52,104.8,1.99,187,130,67,0.93,598,24,2,2,26.46
383,57,82.2,1.69,188,155,63,1.15,882,25.2,3.4,4,28.78
384,33,68.2,1.75,177,150,71,0.85,638,29,1.7,2,22.27
385,30,91.4,1.99,171,152,60,1.37,1145,23,3.7,3,23.08
386,59,42.1,1.65,172,132,59,1.22,725,33,2.2,2,15.46
387,47,68.7,1.76,161,137,66,1.37,845,27.7,2.4,3,22.18
388,36,47.2,1.74,196,160,53,1.5,1200,32.2,1.6,4,15.59
389,34,92,1.76,175,143,73,0.73,574,22.1,3.5,3,29.7
390,36,56.2,1.95,183,128,64,1.09,767,22.5,3.4,4,14.78
391,45,58.4,1.72,194,150,65,1.31,973,23.4,3.1,4,19.74
392,43,82.9,1.95,181,160,70,1.9,1505,12.9,3.5,5,21.8
393,54,66.9,1.74,195,129,62,1.24,720,29.5,2.1,2,22.1
394,43,66.3,1.85,170,121,58,1.18,707,27.5,3.2,2,19.37
395,40,93.6,1.93,188,157,60,1.38,1192,22.1,2,3,25.13
396,26,64.1,1.5,194,134,60,1.93,1293,15.1,2.7,5,28.49
397,29,86.7,1.62,174,122,55,1.52,1020,13.9,3.5,4,33.04
398,18,62,1.59,190,162,50,1.23,996,33.2,2.2,4,24.52
399,18,58.1,1.61,175,150,71,1.9,1425,15.3,2.7,4,22.41
400,51,64.9,1.6,169,125,55,1.49,838,31.1,2.5,4,25.35
401,49,69.3,1.62,191,122,62,1.14,626,28.8,1.9,4,26.41
402,42,42.7,1.74,161,130,71,1.04,608,32.9,1.6,3,14.1
403,57,51.4,1.63,183,134,73,1.2,724,33.7,2,4,19.35
404,18,67.4,1.6,182,164,71,0.6,492,33.5,2.4,3,26.33
405,33,55.6,1.61,161,147,54,1.77,1301,18.9,2.7,4,21.45
406,56,125.3,1.86,197,129,64,1,639,22.7,2.2,3,36.22
407,22,102.1,1.85,190,157,67,1.48,1278,28.1,2.4,4,29.83
408,39,61.9,1.77,199,166,69,1.32,1205,25.3,2.3,3,19.76
409,46,108.8,1.64,185,169,63,1.4,1171,20.5,3.4,3,40.45
410,20,51.1,1.58,188,169,64,0.5,422,29.6,1.6,2,20.47
411,29,81.7,1.99,162,126,54,1.45,1005,29.4,3.2,2,20.63
412,43,42.7,1.66,173,134,53,0.73,440,33.9,1.9,2,15.5
413,33,81.8,1.99,184,137,51,1.59,1198,10.5,3.5,4,20.66
414,54,54.6,1.76,160,137,56,1.28,868,27.4,3.3,4,17.63
415,39,107.7,1.88,162,160,59,0.72,634,28.1,3.6,2,30.47
416,46,56.9,1.6,185,143,65,0.88,566,27.7,1.6,3,22.23
417,31,78.8,1.71,177,121,59,1.49,992,24.7,2.5,4,26.95
418,45,48.2,1.64,168,159,67,1.25,894,32.1,2.5,4,17.92
419,22,50.7,1.59,197,139,66,1.27,883,29.4,1.8,3,20.05
420,47,86.6,1.99,182,153,70,1.98,1500,10.6,3.5,4,21.87
421,22,96.3,1.63,180,162,62,1.35,1203,27.1,2.4,4,36.25
422,29,80.8,1.98,160,145,50,1.65,1316,14.6,3.5,5,20.61
423,33,58,1.53,180,126,50,1.84,1159,18.3,2.7,5,24.78
424,43,95.9,1.85,186,157,64,1.28,995,27.7,3.4,2,28.02
425,43,61.5,1.58,165,149,50,1.86,1247,16.8,2.7,5,24.64
426,38,40.6,1.79,195,161,55,0.62,499,26.8,2.7,2,12.67
427,56,82.5,1.87,187,124,74,1.51,927,13.2,3.5,5,23.59
428,53,105.1,1.84,176,130,62,0.69,444,23.3,2.9,3,31.04
429,50,58.1,1.58,199,120,50,1.93,1042,19.3,2.7,5,23.27
430,47,61,1.76,162,153,54,1.54,1060,15.6,2.7,5,19.69
431,54,64.5,1.53,171,120,58,1.74,940,17.2,2.7,4,27.55
432,40,58.2,1.98,198,138,74,1.43,1085,24,2.5,3,14.85
433,27,69.5,1.76,171,121,66,0.94,569,34.4,2,3,22.44
434,22,62.2,1.84,161,140,65,0.51,393,21.5,2.3,3,18.37
435,53,68,1.7,181,139,57,1.06,663,25.1,2.4,4,23.53
436,51,56.3,1.5,182,142,66,1.43,914,27.4,2.4,3,25.02
437,48,94.5,1.7,189,140,64,1.01,700,28.2,3.5,3,32.7
438,27,58,1.79,164,143,73,1.39,994,27.1,1.5,2,18.1
439,36,84,1.94,168,123,50,1.8,1218,11.2,3.5,5,22.32
440,49,61,1.87,180,131,61,1.14,739,21.3,3,4,17.44
441,18,64.8,1.53,170,141,54,1.98,1396,18.6,2.7,5,27.68
442,22,45.7,1.77,164,139,73,1.04,795,20.7,2.4,3,14.59
443,21,80.9,1.9,194,137,55,1.8,1356,11.7,3.5,4,22.41
444,33,64.1,1.63,186,120,74,1.58,948,16.4,2.7,5,24.13
445,41,67,1.77,161,149,50,1.22,900,25.6,2.6,3,21.39
446,33,106.5,1.6,183,152,74,1.4,1170,27.3,3.3,4,41.6
447,19,95.1,1.85,190,143,50,1.21,952,25.3,2.3,4,27.79
448,45,65.5,1.57,192,133,59,0.66,395,34.3,2.3,2,26.57
449,49,105.7,1.64,198,155,59,1.2,921,29.5,3.1,3,39.3
450,44,48,1.76,189,124,52,0.88,491,28.6,2.6,2,15.5
451,37,69.5,1.5,196,130,66,0.69,448,32.8,2.4,2,30.89
452,41,66.1,1.69,187,143,68,0.77,545,27.4,3.4,2,23.14
453,29,68,1.7,190,150,60,0.76,627,28.9,2.9,2,23.53
454,52,50.3,1.78,170,132,67,0.85,555,24.5,2.3,2,15.88
455,50,69.3,1.68,182,135,51,1.2,729,30.3,2,2,24.55
456,50,86.7,1.63,161,143,58,1.7,1203,12.1,3.5,4,32.63
457,54,125.9,1.94,199,132,73,1.35,882,28.5,2.9,3,33.45
458,29,88.1,1.93,186,143,66,1.88,1479,11.1,3.5,5,23.65
459,20,124.3,1.82,194,145,63,1.25,997,22.4,3.2,3,37.53
460,18,62,1.85,161,121,53,0.88,586,23.7,3,3,18.12
461,50,69.7,1.72,198,135,66,1.24,753,27.3,2,4,23.56
462,57,60.9,1.52,196,157,66,1.31,926,30.6,1.8,3,26.36
463,27,76.5,1.97,180,165,61,1.13,1025,21.3,2.3,2,19.71
464,46,94.7,1.82,164,120,69,1.47,873,23.2,3.2,3,28.59
465,30,67.9,1.75,180,168,67,1.25,1155,29.1,3.1,2,22.17
466,29,121.1,1.87,188,130,52,1.31,937,24.1,3.2,4,34.63
467,48,71.5,1.64,179,154,60,1.46,1012,32.5,1.9,4,26.58
468,19,98.6,1.7,197,162,74,0.83,740,21.1,2.4,2,34.12
469,52,68.2,1.63,179,148,67,1.17,779,27.5,2.4,3,25.67
470,40,57.7,1.69,184,156,53,1.18,920,33.1,2.4,4,20.2
471,34,124.6,1.63,161,136,66,1.41,1055,27.6,2.8,3,46.9
472,43,73,1.59,191,158,67,1.31,931,28.9,2.2,3,28.88
473,25,59.4,1.51,185,161,54,1.62,1304,19.8,2.7,5,26.05
474,46,52,1.65,165,147,63,0.7,463,34.1,1.9,2,19.1
475,43,42.2,1.65,162,148,59,1.33,886,34.6,2.3,3,15.5
476,27,89.3,1.64,192,162,64,1.82,1622,12.1,3.5,4,33.2
477,43,110,1.76,160,122,50,1.09,658,22,3.4,3,35.51
478,51,66.2,1.58,164,129,65,0.86,499,31.3,2.3,3,26.52
479,58,58.6,1.66,172,161,60,1.21,964,26.8,2.9,2,21.27
480,24,51,1.67,178,133,72,0.97,710,21.3,2.8,3,18.29
481,21,101.5,1.95,171,131,69,0.97,699,27.9,3.1,3,26.69
482,28,114.2,1.87,184,166,55,1.05,959,20.2,3.2,3,32.66
483,46,54.4,1.72,194,161,73,0.91,725,24.8,2.9,2,18.39
484,53,52.4,1.57,171,149,71,1.34,898,28.3,2.2,3,21.26
485,42,85.2,1.81,189,151,65,1.54,1151,13.7,3.5,5,26.01
486,38,83.6,1.74,164,151,51,1.66,1379,11.6,3.5,5,27.61
487,53,115.4,1.92,193,161,50,1.36,1084,28.3,2.2,4,31.3
488,27,71.2,1.97,181,151,73,0.74,615,25.9,3.6,3,18.35
489,54,78.1,1.6,198,145,73,1.1,718,32.9,2.4,4,30.51
490,26,54.2,1.65,172,120,58,1.07,642,34.9,1.9,4,19.91
491,41,77.6,1.76,162,161,71,1.27,920,31.8,2.2,4,25.05
492,52,44.1,1.62,179,121,61,1.41,768,34.8,1.6,3,16.8
493,52,85.5,1.8,190,136,66,1.7,1144,10.1,3.5,5,26.39
494,53,47.8,1.76,164,149,74,1.06,711,28.4,1.5,4,15.43
495,35,102.5,1.94,183,158,64,0.84,730,21.1,2.4,2,27.23
496,56,118,1.9,199,126,68,0.66,412,22.6,3.2,2,32.69
497,49,82.3,1.84,192,146,71,1.29,932,28.4,3.4,4,24.31
498,41,81.6,1.87,167,128,59,1.87,1185,10.2,3.5,5,23.33
499,40,60.2,1.88,183,141,61,1.22,946,25.2,3,3,17.03
500,49,49.2,1.54,179,153,63,1.28,881,30.7,2.1,3,20.75
501,54,46.6,1.5,175,165,58,1.38,1025,30.6,2,2,20.71
502,29,68.7,1.72,171,168,62,1.08,907,29.8,1.7,4,23.22
503,30,60.6,1.55,172,120,52,1.3,780,32.9,1.6,3,25.22
504,40,52.1,1.61,198,128,70,0.87,612,21.3,3.3,2,20.1
505,42,46.6,1.77,184,139,63,0.61,382,28.1,2.6,2,14.87
506,52,65.5,1.74,191,138,70,1.48,1011,26.2,2.8,4,21.63
507,58,44.2,1.57,183,155,59,1.08,753,31.9,2.3,3,17.93
508,47,89.1,1.84,168,159,65,1.44,1133,24,3.6,3,26.32
509,34,65.9,1.62,199,164,56,0.81,731,28.8,2.2,2,25.11
510,37,55.6,1.57,182,123,53,0.97,597,29.2,2.4,2,22.56
511,42,63.7,1.98,172,128,69,1.37,868,24,3,2,16.25
512,39,86.2,1.82,191,160,72,1.96,1725,10.2,3.5,5,26.02
513,30,59.2,1.63,174,141,74,1.85,1304,17.8,2.7,4,22.28
514,36,85.4,1.88,195,137,60,1.98,1492,13.5,3.5,5,24.16
515,53,68.1,1.55,164,131,65,1.41,831,26.1,2.2,4,28.35
516,29,60,1.62,181,161,69,0.85,684,28.1,1.9,2,22.86
517,58,74.8,1.69,175,162,53,1.28,933,32.8,2.3,4,26.19
518,36,90.3,1.65,169,158,71,1.38,1199,23.7,3.4,4,33.17
519,29,86.1,1.65,183,128,71,1.66,1169,11.2,3.5,4,31.63
520,26,73.7,1.66,177,125,72,0.93,639,26.7,2.2,2,26.75
521,24,67.7,1.56,177,138,66,1.42,980,27,2.1,3,27.82
522,45,78.3,1.96,166,167,62,1.29,1066,29,2.2,3,20.38
523,31,48.2,1.65,163,166,60,1.1,913,26.1,2.5,2,17.7
524,48,56.8,1.51,185,126,52,1.37,777,32.1,2.1,4,24.91
525,36,112.4,1.63,164,135,58,1.02,757,25,3.4,4,42.3
526,33,59,1.67,175,124,55,0.9,558,33.7,1.9,3,21.16
527,22,98.4,1.88,194,135,71,0.52,386,21.3,2.2,2,27.84
528,52,66.5,1.6,185,120,70,1.34,796,26.8,2.1,4,25.98
529,29,106.5,1.81,177,156,60,1.29,1107,25.7,2.5,4,32.51
530,42,88.4,1.93,188,158,65,1.68,1314,12.4,3.5,4,23.73
531,38,88.4,1.79,182,138,68,1.74,1321,12.5,3.5,5,27.59
532,53,53.3,1.74,173,156,54,1.37,962,32.2,1.8,3,17.6
533,40,58.1,1.56,174,136,63,0.61,415,34.4,2.2,2,23.87
534,33,74.2,1.76,192,145,66,1.15,834,25.9,1.5,4,23.95
535,56,84.6,1.63,184,141,52,1.01,705,20.2,2.9,4,31.84
536,59,78,1.92,180,127,53,0.72,453,28.1,2.7,3,21.16
537,56,89,1.68,176,152,65,1.77,1332,10.5,3.5,5,31.53
538,31,42.7,1.76,182,121,65,1.46,883,34.9,2.2,3,13.78
539,48,83.9,1.82,176,149,70,1.9,1401,13.1,3.5,5,25.33
540,22,78.7,1.52,173,166,74,1.45,1204,31.5,2.3,3,34.06
541,52,65.9,1.52,188,139,53,1.27,794,27,2.3,4,28.52
542,40,76.9,1.92,179,137,68,1.13,851,22.4,3.7,4,20.86
543,46,84.3,2,189,162,66,1.83,1467,13.3,3.5,5,21.07
544,28,62.4,1.6,178,129,62,1.1,710,34.1,1.7,3,24.37
545,35,63.7,1.74,198,143,71,1.03,810,29.8,2.7,4,21.04
546,29,54.9,1.52,172,123,72,1.48,910,27,2,3,23.76
547,26,76.4,1.79,177,156,73,1.17,1004,21.3,2.7,3,23.84
548,27,106.4,1.86,182,123,50,1.34,907,20.6,3.1,2,30.76
549,34,68.4,1.5,192,132,61,1.37,904,33.7,2.1,4,30.4
550,55,63.5,1.86,198,144,53,1.36,969,22.9,2.9,4,18.35
551,24,59.4,1.5,199,132,60,1.25,825,25,2,3,26.4
552,30,113.4,1.91,177,137,54,1.27,957,22.2,3.7,3,31.08
553,57,61.9,1.52,168,143,51,0.92,592,28.4,2.6,3,26.79
554,59,70.7,1.68,192,121,66,1.17,637,34.9,1.9,3,25.05
555,26,111.5,1.9,191,167,57,1.02,937,25.2,2.2,2,30.89
556,44,72.1,1.66,176,152,55,1.4,958,27,2.5,2,26.16
557,19,56.9,1.87,178,138,70,0.61,463,23.3,3.7,3,16.27
558,22,86.2,1.9,186,128,58,1.91,1345,11.7,3.5,5,23.88
559,46,59.4,1.68,165,147,62,1.16,844,20.2,2.5,4,21.05
560,54,75.6,1.72,194,154,60,0.97,672,26.4,1.9,3,25.55
561,55,76.3,1.73,196,158,65,1.08,768,32,2.6,3,25.49
562,36,95.8,1.86,193,129,65,1.37,972,21.2,3.2,3,27.69
563,25,120.6,1.83,179,120,51,1.04,686,22.3,2.5,3,36.01
564,18,65.3,1.55,184,161,59,1.42,1143,28.5,2.2,3,27.18
565,39,85.3,1.89,163,140,61,0.77,593,27.6,3.6,2,23.88
566,34,68,1.68,169,128,57,0.67,472,25.8,3.4,2,24.09
567,24,52.6,1.57,169,166,60,1.29,1071,31.9,2.4,2,21.34
568,42,63.3,1.77,183,134,59,1.32,876,25.7,3.3,3,20.2
569,21,76.3,1.65,180,154,62,1.14,878,31.8,1.7,3,28.03
570,53,61,1.63,170,124,74,0.54,331,20,3.4,3,22.96
571,23,67.8,1.61,186,160,66,1.34,1072,34.3,1.8,2,26.16
572,48,114.9,1.86,175,141,56,1.36,949,21.1,3.6,3,33.21
573,36,88,1.71,185,160,73,1.87,1646,12,3.5,5,30.09
574,56,67.7,1.58,189,142,52,1.45,927,32.7,1.9,2,27.12
575,44,124.8,1.85,175,126,69,1.35,842,24.4,3.5,4,36.46
576,27,53,1.58,166,142,62,1.26,895,34.5,1.8,4,21.23
577,43,61.2,1.88,175,163,68,1.03,831,24.7,2.9,3,17.32
578,36,48.7,1.68,194,144,56,1.23,886,33.7,1.6,3,17.25
579,56,50.6,1.7,175,146,58,1.29,848,33.1,2.3,2,17.51
580,20,72.6,1.73,199,160,68,1.27,1016,34.8,2.5,3,24.26
581,30,70.4,1.56,171,125,62,1.03,644,34.3,2.4,4,28.93
582,45,52.5,1.88,194,153,71,1.08,818,29,2.9,4,14.85
583,37,76.3,1.77,180,128,57,1.36,957,27.3,2.1,4,24.35
584,45,41.2,1.58,195,168,71,1.47,1111,28.7,2.6,2,16.5
585,25,55.3,1.76,176,152,67,1.56,1186,15.5,2.7,4,17.85
586,58,49.7,1.67,191,125,72,1.38,776,31.9,2.3,4,17.82
587,56,48.3,1.87,165,156,51,0.68,525,29.8,3.3,3,13.81
588,18,83.2,1.96,183,150,67,1.83,1510,13.6,3.5,4,21.66
589,20,120.5,1.73,186,153,67,1.01,850,29.3,3.4,3,40.26
590,30,121.6,2,179,160,60,1.24,1091,28,3.3,4,30.4
591,45,73,1.75,184,148,50,1.14,759,26.6,2,4,23.84
592,42,57.5,1.67,161,133,63,1.76,1053,16.2,2.7,5,20.62
593,50,42.7,1.53,168,155,65,1.41,983,28.4,2.4,4,18.24
594,55,129.9,1.73,187,155,60,0.69,529,21.7,3.1,3,43.4
595,23,108.6,1.92,197,134,50,0.89,656,25.8,3.5,2,29.46
596,49,88.6,2,162,127,56,1.83,1150,14.9,3.5,4,22.15
597,38,49.7,1.51,179,145,65,1.25,906,32.6,2.5,3,21.8
598,33,56.4,1.54,165,155,63,1.06,822,29.2,1.5,3,23.78
599,38,46.9,1.74,198,167,64,1.03,946,20,2.6,4,15.49
600,28,71.3,1.67,192,140,63,1.46,1022,28.1,1.5,4,25.57
601,54,71.6,1.86,160,147,70,1.14,830,25.3,2.2,3,20.7
602,53,82.3,1.61,196,123,60,1.87,1139,11.6,3.5,5,31.75
603,52,70.6,1.69,165,135,65,1.36,826,26.1,2.2,3,24.72
604,36,109.8,1.62,193,141,68,0.84,651,24.4,3.5,3,41.84
605,37,73.5,1.69,174,131,66,0.54,354,27.5,1.6,2,25.73
606,35,85.6,1.85,185,135,55,1.78,1322,14.5,3.5,5,25.01
607,58,74.6,1.68,173,159,60,1.03,737,26,2,4,26.43
608,31,63.2,1.8,166,157,66,0.59,463,25.5,2.6,2,19.51
609,32,62.6,1.63,190,161,58,1.67,1344,15,2.7,5,23.56
610,48,87.1,1.76,183,156,67,1.81,1398,11.6,3.5,5,28.12
611,18,82.3,1.84,190,148,66,1.73,1408,13.3,3.5,5,24.31
612,20,64.3,1.78,188,137,61,1.71,1171,18.7,2.7,4,20.29
613,33,53.7,1.66,191,129,72,1.25,806,29.5,2.5,3,19.49
614,40,63,2,176,161,71,1.42,1257,26.8,2.9,4,15.75
615,28,128.4,1.86,173,158,71,1.06,921,23.6,3.3,4,37.11
616,29,88,1.89,199,137,54,1.75,1319,13.3,3.5,5,24.64
617,27,63.7,1.52,195,120,60,1.19,714,25.4,2.1,4,27.57
618,49,83.7,1.87,183,158,53,1.29,1009,23.9,2.3,4,23.94
619,33,102.6,1.75,186,140,53,1.4,1078,27.9,2.2,3,33.5
620,25,77.7,1.55,184,120,52,0.55,330,33,1.7,2,32.34
621,55,87.5,1.88,191,134,73,1.19,789,27.2,2.6,4,24.76
622,29,87,1.86,177,123,72,1.52,1028,11,3.5,4,25.15
623,41,82.8,1.66,177,139,74,1.97,1355,11.2,3.5,5,30.05
624,45,65.4,1.68,196,129,66,0.76,441,35,2.6,3,23.17
625,25,47.2,1.71,185,142,56,0.89,632,26,2.5,2,16.14
626,45,58.2,1.7,168,160,53,0.95,684,26.8,2,3,20.14
627,53,73.5,1.55,194,153,72,1.17,806,26.3,2.1,4,30.59
628,43,55.2,1.73,167,165,62,1.67,1240,16.6,2.7,5,18.44
629,25,64.4,1.71,179,167,61,1.12,935,27.1,1.8,3,22.02
630,45,73.5,1.74,181,152,50,1.18,807,30,2.3,4,24.28
631,45,89.6,1.81,178,153,70,1.7,1287,12.4,3.5,5,27.35
632,54,86.5,1.76,189,158,68,1.48,1158,29,3.4,3,27.92
633,58,46.1,1.67,187,129,70,1.28,743,25.3,1.8,4,16.53
634,53,68.5,1.97,194,139,69,1.3,894,23.2,2.1,3,17.65
635,44,94.6,1.84,170,120,67,1.26,748,26,3.1,4,27.94
636,34,54.2,1.52,190,132,60,1.13,746,31,2.2,3,23.46
637,26,47.7,1.77,198,120,69,1.15,759,24.8,2.7,3,15.23
638,50,52.2,1.84,195,124,52,1.38,847,28.2,3.1,4,15.42
639,37,88.8,1.95,189,135,66,1.58,1173,10.3,3.5,5,23.35
640,30,101,1.68,182,134,61,1.46,1076,28.2,2.9,4,35.79
641,45,118.4,1.95,178,168,59,1.06,881,24.9,2.4,3,31.14
642,46,47.9,1.72,171,147,57,1.41,933,26.3,2,3,16.19
643,30,51.5,1.74,174,150,64,1.08,810,33.9,2,3,17.01
644,52,79.9,1.51,190,142,54,0.75,479,31.5,2.6,3,35.04
645,23,121.3,1.85,196,167,53,0.72,661,21.6,3.6,2,35.44
646,35,78.9,1.64,196,164,70,1.28,1050,25.3,2.6,4,29.34
647,22,88.5,1.62,174,162,69,1.88,1675,10.7,3.5,5,33.72
648,42,73.5,1.63,188,136,68,0.52,350,26.1,3.2,3,27.66
649,19,127.9,1.93,185,168,70,1.27,1173,21.8,3,4,34.34
650,27,88.5,1.98,161,153,53,1.8,1515,11.1,3.5,4,22.57
651,47,43.4,1.62,179,132,64,0.51,303,25.3,2.3,3,16.54
652,22,42.8,1.56,174,133,66,1.47,978,32.2,2.6,3,17.59
653,50,64.5,1.79,163,130,61,1.17,753,28.1,2.4,4,20.13
654,18,50.7,1.53,181,147,52,1.29,948,33,2.1,3,21.66
655,35,59.2,1.66,197,161,59,1.3,1151,21.3,3.2,3,21.48
656,49,78.9,1.73,182,151,64,1.38,938,34,2.3,2,26.36
657,28,78.7,1.63,185,154,59,1.1,847,31.7,1.8,3,29.62
658,38,68.7,1.92,170,150,73,1.31,1081,29,3,4,18.64
659,43,53.1,1.59,187,136,72,0.82,502,29.5,2.5,2,21
660,42,64.8,1.65,161,166,67,1.1,904,24.4,2.8,3,23.8
661,39,50.3,1.61,167,128,50,1.17,749,32.8,2.5,2,19.41
662,44,102.3,1.63,188,129,52,1.34,856,20.9,2.6,4,38.5
663,30,62.9,1.92,170,127,70,1.13,789,25.2,3.6,2,17.06
664,50,56.5,1.6,196,140,61,1.88,1184,19.2,2.7,5,22.07
665,51,74.6,1.55,177,132,50,0.71,422,33.3,2.1,2,31.05
666,58,52,1.79,173,169,52,1.12,937,29.6,3,3,16.23
667,52,52.1,1.67,169,124,52,1.5,837,32,1.5,2,18.68
668,18,72.2,1.54,194,125,54,0.97,606,27.1,1.7,2,30.44
669,38,85.8,1.8,168,149,68,1.72,1410,10.1,3.5,4,26.48
670,23,81.4,1.85,194,150,74,1.6,1320,12.4,3.5,4,23.78
671,45,50.9,1.65,170,136,50,1.45,887,30.1,2.3,2,18.7
672,34,52,1.78,171,130,53,1.38,987,22.4,2.7,4,16.41
673,22,71,1.93,162,139,53,1.42,1086,21.2,2.9,4,19.06
674,48,80.6,1.77,198,167,66,1.51,1248,12.9,3.5,4,25.73
675,22,58.3,1.72,173,128,63,1,640,32.6,1.6,3,19.71
676,55,63,1.7,187,121,67,1.32,719,34.9,2.5,3,21.8
677,20,111,1.94,170,156,50,1.02,875,27.6,3.3,4,29.49
678,40,52.6,1.66,198,120,71,1.27,762,32.9,1.7,3,19.09
679,54,116.4,2,184,123,65,1.13,688,26.2,3.1,3,29.1
680,54,75.6,1.61,180,155,52,1.41,983,34.9,2.5,4,29.17
681,27,61.6,1.8,169,144,72,1.48,1172,26.4,3.1,2,19.01
682,27,108,1.8,174,122,70,1.38,926,28.6,2.5,4,33.33
683,36,59.3,1.75,178,128,58,0.99,634,34.5,2.3,3,19.36
684,34,75.7,1.94,181,141,72,1.18,915,29.3,2.4,4,20.11
685,38,56.3,1.6,180,142,53,1.21,859,28.8,1.9,4,21.99
686,31,58.2,1.73,191,131,70,1.17,766,25.8,1.8,3,19.45
687,26,55.7,1.68,182,129,54,1.13,802,21.7,2.9,3,19.73
688,18,125.9,1.67,172,153,60,1.46,1229,20.6,2.2,3,45.14
689,30,62.7,1.67,164,162,70,1.02,826,26.1,2.6,4,22.48
690,21,86.6,1.86,163,129,58,1.37,972,21.8,2.6,3,25.03
691,18,64.5,1.82,187,149,52,1.2,983,23.4,2.4,3,19.47
692,57,76.6,1.86,173,141,55,1.14,796,25.4,2.8,4,22.14
693,49,81.4,1.83,167,125,73,1.98,1225,13.6,3.5,5,24.31
694,51,60.7,1.71,168,169,60,1.14,954,22.1,2.5,2,20.76
695,45,57.2,1.55,194,121,58,1.67,909,18.4,2.7,5,23.81
696,48,73,1.59,196,149,64,1.19,798,32,2.1,3,28.88
697,25,123.8,1.99,180,121,72,1.13,752,25.6,2.6,3,31.26
698,56,93.6,1.66,177,151,52,1.37,1024,29,2.2,2,33.97
699,43,76.8,1.92,192,161,50,1.24,988,21.1,2.5,3,20.83
700,51,54.7,1.53,167,135,69,1.11,674,26.8,2,4,23.37
701,20,92.3,1.94,176,131,71,1.14,821,24.3,2.1,3,24.52
702,29,71.8,1.55,190,120,68,1.2,720,26.3,2.4,4,29.89
703,18,66.9,1.57,193,127,63,1.07,679,30.7,2.2,3,27.14
704,22,48.7,1.76,165,167,66,1.37,1144,29,2.2,4,15.72
705,47,66.2,1.71,181,169,71,1.42,1188,22.8,2.9,3,22.64
706,47,40,1.76,173,132,63,0.8,475,26.7,2.2,3,12.91
707,34,112.4,1.85,162,134,66,1.18,870,23.4,3.6,4,32.84
708,40,70,1.55,171,163,74,0.85,693,31.1,1.5,3,29.14
709,32,84,1.74,195,127,63,1.45,1013,25.8,2.1,3,27.74
710,54,43.8,1.65,171,129,61,1.29,749,26.6,1.7,4,16.09
711,38,123.3,1.62,161,165,65,1.34,1216,21.2,2.3,4,46.98
712,31,57.9,1.56,161,124,50,1.8,1116,15.1,2.7,5,23.79
713,19,82.4,1.96,174,169,62,1.9,1766,10.1,3.5,5,21.45
714,28,84.8,1.79,182,138,55,1.35,1025,28.8,2.3,4,26.47
715,56,109.6,1.66,188,166,66,1.29,1060,20.5,3.1,3,39.77
716,55,86.4,1.77,176,157,61,1,777,27.3,2.8,3,27.58
717,51,63.9,1.8,191,130,72,1.07,626,33.7,2.7,4,19.72
718,55,70.8,1.62,166,162,68,0.54,394,26,1.8,3,26.98
719,51,115.3,1.67,189,139,55,1.38,950,24.4,2.5,3,41.34
720,35,55.3,1.56,187,139,56,1.71,1188,19.8,2.7,5,22.72
721,47,73.9,1.8,173,140,50,1.36,942,28.3,3.7,3,22.81
722,32,97.3,1.96,189,137,50,1.36,1025,24.9,3.4,3,25.33
723,44,60.4,1.65,176,169,54,1.27,966,32.6,2.1,4,22.19
724,51,49.3,1.61,191,129,55,1.36,868,28.3,2.9,2,19.02
725,55,91.8,1.78,165,153,65,1.44,1091,23.5,3.4,3,28.97
726,50,73.6,1.55,183,145,74,0.89,581,33.9,2.1,3,30.63
727,41,47.1,1.78,165,149,65,1.26,929,24.7,2.4,3,14.87
728,32,65.2,1.62,186,128,63,0.58,408,25.3,3.4,2,24.84
729,47,87.2,1.64,177,165,50,2,1634,15,3.5,4,32.42
730,59,96.7,1.71,183,150,62,0.57,423,28.4,2.9,3,33.07
731,34,46.9,1.61,196,161,69,1.02,821,28.6,1.7,3,18.09
732,22,72.1,1.62,183,123,59,1.38,849,25.1,2.1,3,27.47
733,46,62.5,1.54,197,125,73,1.61,906,18.1,2.7,4,26.35
734,21,110.7,1.69,193,133,59,1.06,775,27,2.7,3,38.76
735,27,102.6,1.83,199,123,58,1.41,954,26.5,3.5,3,30.64
